Event Type,Event Size (Attendees),Event Duration (Days),Event Schedule (Start - End),Event Date (Start),Event Date (End),"Participant Demographics (Age, Location, Interests)","Participant Engagement Metrics (Attendance, Feedback)"
Festival,4007,4,14:00 - 20:00,2024-11-20,2024-11-23,"25-50, Delhi, Business","95%, Positive"
Conference,711,2,09:00 - 17:00,2025-01-16,2025-01-17,"20-45, Mumbai, Sports","75%, Neutral"
Conference,1810,2,09:00 - 17:00,2024-11-13,2024-11-14,"25-50, Delhi, Business","95%, Positive"
Festival,1268,4,12:00 - 22:00,2024-10-02,2024-10-05,"25-50, Delhi, Business","70%, Negative"
Seminar,505,3,12:00 - 22:00,2024-11-03,2024-11-05,"20-45, Mumbai, Sports","70%, Negative"
Seminar,168,3,09:00 - 17:00,2024-11-19,2024-11-21,"18-25, Indore, Tech","80%, Negative"
Seminar,1127,1,09:00 - 17:00,2025-01-16,2025-01-16,"30-60, Bangalore, Education","80%, Negative"
Conference,1007,4,09:00 - 17:00,2024-10-10,2024-10-13,"30-60, Bangalore, Education","75%, Neutral"
Festival,2610,1,09:00 - 17:00,2024-10-23,2024-10-23,"20-45, Mumbai, Sports","75%, Neutral"
Conference,1545,2,10:00 - 18:00,2025-01-13,2025-01-14,"18-35, Maharashtra, Arts","85%, Positive"
Conference,637,3,09:00 - 17:00,2024-11-06,2024-11-08,"30-60, Bangalore, Education","95%, Positive"
Trade Show,1542,4,12:00 - 22:00,2025-01-13,2025-01-16,"30-60, Bangalore, Education","75%, Neutral"
Conference,1737,3,10:00 - 18:00,2024-12-22,2024-12-24,"18-35, Maharashtra, Arts","75%, Neutral"
Seminar,172,1,09:00 - 17:00,2025-01-24,2025-01-24,"25-50, Delhi, Business","85%, Positive"
Festival,3225,3,12:00 - 22:00,2024-11-29,2024-12-01,"18-25, Indore, Tech","70%, Negative"
Festival,3897,3,12:00 - 22:00,2024-12-28,2024-12-30,"20-45, Mumbai, Sports","80%, Negative"
Trade Show,1542,4,10:00 - 18:00,2025-01-17,2025-01-20,"30-60, Bangalore, Education","95%, Positive"
Conference,506,4,10:00 - 18:00,2024-11-24,2024-11-27,"30-60, Bangalore, Education","70%, Negative"
Festival,4774,3,14:00 - 20:00,2024-10-09,2024-10-11,"18-25, Indore, Tech","85%, Positive"
Seminar,763,3,12:00 - 22:00,2024-10-09,2024-10-11,"20-45, Mumbai, Sports","95%, Positive"
Festival,5943,2,10:00 - 18:00,2024-11-15,2024-11-16,"18-25, Indore, Tech","75%, Neutral"
Seminar,591,3,09:00 - 17:00,2024-10-28,2024-10-30,"25-50, Delhi, Business","70%, Negative"
Trade Show,2556,4,14:00 - 20:00,2024-10-08,2024-10-11,"20-45, Mumbai, Sports","70%, Negative"
Trade Show,2709,3,12:00 - 22:00,2024-12-23,2024-12-25,"20-45, Mumbai, Sports","80%, Negative"
Festival,5708,4,09:00 - 17:00,2024-10-12,2024-10-15,"18-25, Indore, Tech","70%, Negative"
Conference,361,3,10:00 - 18:00,2024-11-22,2024-11-24,"30-60, Bangalore, Education","75%, Neutral"
Conference,1232,4,09:00 - 17:00,2024-12-04,2024-12-07,"18-35, Maharashtra, Arts","80%, Negative"
Trade Show,541,4,10:00 - 18:00,2024-12-27,2024-12-30,"30-60, Bangalore, Education","75%, Neutral"
Conference,1503,4,09:00 - 17:00,2024-11-22,2024-11-25,"18-25, Indore, Tech","95%, Positive"
Festival,1877,2,09:00 - 17:00,2024-12-22,2024-12-23,"20-45, Mumbai, Sports","75%, Neutral"
Seminar,554,4,09:00 - 17:00,2024-11-17,2024-11-20,"20-45, Mumbai, Sports","85%, Positive"
Festival,3876,4,10:00 - 18:00,2024-12-04,2024-12-07,"25-50, Delhi, Business","95%, Positive"
Seminar,269,4,09:00 - 17:00,2024-10-18,2024-10-21,"30-60, Bangalore, Education","80%, Negative"
Seminar,475,4,10:00 - 18:00,2024-12-16,2024-12-19,"25-50, Delhi, Business","95%, Positive"
Festival,4301,1,09:00 - 17:00,2024-10-11,2024-10-11,"18-25, Indore, Tech","85%, Positive"
Seminar,781,1,12:00 - 22:00,2025-01-17,2025-01-17,"18-35, Maharashtra, Arts","70%, Negative"
Festival,4044,2,09:00 - 17:00,2025-01-06,2025-01-07,"30-60, Bangalore, Education","80%, Negative"
Seminar,347,1,12:00 - 22:00,2024-11-13,2024-11-13,"30-60, Bangalore, Education","95%, Positive"
Seminar,806,2,10:00 - 18:00,2024-11-03,2024-11-04,"18-35, Maharashtra, Arts","80%, Negative"
Seminar,92,2,10:00 - 18:00,2024-10-31,2024-11-01,"20-45, Mumbai, Sports","80%, Negative"
Conference,1286,2,10:00 - 18:00,2024-12-19,2024-12-20,"30-60, Bangalore, Education","70%, Negative"
Trade Show,2267,2,12:00 - 22:00,2024-12-15,2024-12-16,"25-50, Delhi, Business","70%, Negative"
Festival,5275,2,14:00 - 20:00,2024-12-24,2024-12-25,"18-25, Indore, Tech","95%, Positive"
Trade Show,1595,3,14:00 - 20:00,2024-12-02,2024-12-04,"18-35, Maharashtra, Arts","75%, Neutral"
Festival,4901,4,10:00 - 18:00,2024-10-06,2024-10-09,"30-60, Bangalore, Education","85%, Positive"
Conference,386,4,10:00 - 18:00,2024-10-16,2024-10-19,"30-60, Bangalore, Education","80%, Negative"
Seminar,116,1,12:00 - 22:00,2025-01-29,2025-01-29,"20-45, Mumbai, Sports","80%, Negative"
Seminar,1050,1,09:00 - 17:00,2025-01-12,2025-01-12,"18-25, Indore, Tech","70%, Negative"
Festival,1694,1,10:00 - 18:00,2024-10-19,2024-10-19,"30-60, Bangalore, Education","95%, Positive"
Festival,6146,2,12:00 - 22:00,2024-11-22,2024-11-23,"30-60, Bangalore, Education","75%, Neutral"
