Event Type,Event Size (Attendees),Event Duration (Days),Event Schedule (Start - End),"Participant Demographics (Age, Location, Interests)","Participant Engagement Metrics (Attendance, Feedback)"
Trade Show,1170,2,10:00 - 18:00,"18-25, Indore, Tech","80%, Negative"
Conference,1041,4,12:00 - 22:00,"20-45, Mumbai, Sports","80%, Negative"
Seminar,579,1,09:00 - 17:00,"20-45, Mumbai, Sports","95%, Positive"
Festival,6947,1,14:00 - 20:00,"18-35, Maharashtra, Arts","75%, Neutral"
Festival,6355,3,08:00 - 16:00,"18-35, Maharashtra, Arts","85%, Positive"
Festival,6195,1,08:00 - 16:00,"30-50, Delhi, Education","95%, Positive"
Festival,7470,2,08:00 - 16:00,"16-30, Banglore, Music","90%, Very Positive"
Webinar,3385,1,10:00 - 18:00,"18-35, Maharashtra, Arts","80%, Negative"
Conference,1396,4,14:00 - 20:00,"30-50, Delhi, Education","85%, Positive"
Seminar,8864,3,14:00 - 20:00,"18-25, Indore, Tech","95%, Positive"
Festival,5778,4,10:00 - 18:00,"16-30, Banglore, Music","95%, Positive"
Webinar,2306,1,08:00 - 16:00,"18-25, Indore, Tech","95%, Positive"
Festival,4894,3,19:00 - 22:00,"16-30, Banglore, Music","70%, Mixed"
Festival,9439,4,10:00 - 18:00,"16-30, Banglore, Music","75%, Neutral"
Concert,2311,4,19:00 - 22:00,"25-40, Bhopal, Business","90%, Very Positive"
Trade Show,983,3,09:00 - 17:00,"25-40, Bhopal, Business","85%, Positive"
Workshop,3999,2,08:00 - 16:00,"18-35, Maharashtra, Arts","80%, Negative"
Trade Show,6943,3,08:00 - 16:00,"18-35, Maharashtra, Arts","75%, Neutral"
Workshop,1405,3,08:00 - 16:00,"16-30, Banglore, Music","80%, Negative"
Concert,8310,3,19:00 - 22:00,"20-45, Mumbai, Sports","70%, Mixed"
Conference,3886,2,09:00 - 17:00,"25-40, Bhopal, Business","95%, Positive"
Seminar,7490,4,19:00 - 22:00,"18-25, Indore, Tech","75%, Neutral"
Seminar,4234,1,10:00 - 18:00,"18-35, Maharashtra, Arts","70%, Mixed"
Workshop,9633,1,10:00 - 18:00,"18-25, Indore, Tech","90%, Very Positive"
Trade Show,2117,1,09:00 - 17:00,"30-50, Delhi, Education","80%, Negative"
Webinar,5691,2,10:00 - 18:00,"16-30, Banglore, Music","70%, Mixed"
Concert,6484,4,10:00 - 18:00,"30-50, Delhi, Education","85%, Positive"
Workshop,6606,3,09:00 - 17:00,"30-50, Delhi, Education","90%, Very Positive"
Concert,3176,4,08:00 - 16:00,"16-30, Banglore, Music","85%, Positive"
Seminar,2977,2,14:00 - 20:00,"30-50, Delhi, Education","80%, Negative"
Webinar,1690,1,19:00 - 22:00,"20-45, Mumbai, Sports","90%, Very Positive"
Concert,6847,2,14:00 - 20:00,"25-40, Bhopal, Business","80%, Negative"
Webinar,8551,2,14:00 - 20:00,"25-40, Bhopal, Business","70%, Mixed"
Webinar,4198,2,09:00 - 17:00,"18-35, Maharashtra, Arts","90%, Very Positive"
Webinar,7458,1,08:00 - 16:00,"20-45, Mumbai, Sports","75%, Neutral"
Festival,3687,4,14:00 - 20:00,"20-45, Mumbai, Sports","80%, Negative"
Trade Show,4540,4,14:00 - 20:00,"20-45, Mumbai, Sports","70%, Mixed"
Concert,2702,4,12:00 - 22:00,"18-25, Indore, Tech","80%, Negative"
Festival,4548,3,10:00 - 18:00,"18-35, Maharashtra, Arts","95%, Positive"
Concert,3935,2,08:00 - 16:00,"16-30, Banglore, Music","70%, Mixed"
Festival,8022,3,14:00 - 20:00,"30-50, Delhi, Education","75%, Neutral"
Festival,9908,1,10:00 - 18:00,"30-50, Delhi, Education","90%, Very Positive"
Conference,748,2,10:00 - 18:00,"30-50, Delhi, Education","70%, Mixed"
Seminar,7465,2,19:00 - 22:00,"18-35, Maharashtra, Arts","75%, Neutral"
Conference,7148,2,08:00 - 16:00,"18-25, Indore, Tech","80%, Negative"
Seminar,2550,2,09:00 - 17:00,"16-30, Banglore, Music","80%, Negative"
Webinar,1873,1,09:00 - 17:00,"20-45, Mumbai, Sports","85%, Positive"
Seminar,9422,1,10:00 - 18:00,"18-35, Maharashtra, Arts","70%, Mixed"
Webinar,5201,1,08:00 - 16:00,"16-30, Banglore, Music","80%, Negative"
Festival,3366,3,14:00 - 20:00,"18-25, Indore, Tech","95%, Positive"
Concert,7167,4,10:00 - 18:00,"16-30, Banglore, Music","75%, Neutral"
Concert,8411,2,09:00 - 17:00,"18-35, Maharashtra, Arts","85%, Positive"
Trade Show,8681,1,10:00 - 18:00,"30-50, Delhi, Education","95%, Positive"
Conference,9556,3,12:00 - 22:00,"18-25, Indore, Tech","70%, Mixed"
Webinar,5060,1,08:00 - 16:00,"16-30, Banglore, Music","80%, Negative"
Webinar,7659,2,09:00 - 17:00,"18-25, Indore, Tech","90%, Very Positive"
Concert,9508,2,14:00 - 20:00,"30-50, Delhi, Education","95%, Positive"
Workshop,8799,1,08:00 - 16:00,"30-50, Delhi, Education","90%, Very Positive"
Conference,6012,3,12:00 - 22:00,"18-25, Indore, Tech","70%, Mixed"
Conference,1009,4,19:00 - 22:00,"20-45, Mumbai, Sports","90%, Very Positive"
Trade Show,9477,3,10:00 - 18:00,"18-25, Indore, Tech","80%, Negative"
Festival,2508,1,12:00 - 22:00,"18-25, Indore, Tech","70%, Mixed"
Seminar,7991,4,14:00 - 20:00,"16-30, Banglore, Music","90%, Very Positive"
Workshop,4860,3,09:00 - 17:00,"16-30, Banglore, Music","90%, Very Positive"
Webinar,1796,1,09:00 - 17:00,"18-25, Indore, Tech","90%, Very Positive"
Trade Show,3373,1,09:00 - 17:00,"20-45, Mumbai, Sports","70%, Mixed"
Conference,8259,3,19:00 - 22:00,"20-45, Mumbai, Sports","75%, Neutral"
Seminar,4835,1,10:00 - 18:00,"18-35, Maharashtra, Arts","80%, Negative"
Trade Show,5623,2,10:00 - 18:00,"18-35, Maharashtra, Arts","80%, Negative"
Festival,6578,3,19:00 - 22:00,"20-45, Mumbai, Sports","85%, Positive"
Concert,1812,3,08:00 - 16:00,"25-40, Bhopal, Business","95%, Positive"
Workshop,7104,1,08:00 - 16:00,"20-45, Mumbai, Sports","95%, Positive"
Seminar,7851,2,08:00 - 16:00,"18-25, Indore, Tech","75%, Neutral"
Seminar,8150,4,10:00 - 18:00,"20-45, Mumbai, Sports","85%, Positive"
Workshop,9641,2,12:00 - 22:00,"25-40, Bhopal, Business","95%, Positive"
Trade Show,9340,1,19:00 - 22:00,"18-25, Indore, Tech","95%, Positive"
Concert,3230,1,19:00 - 22:00,"20-45, Mumbai, Sports","95%, Positive"
Webinar,3956,2,08:00 - 16:00,"18-25, Indore, Tech","85%, Positive"
Conference,4778,4,08:00 - 16:00,"25-40, Bhopal, Business","85%, Positive"
Seminar,9734,2,19:00 - 22:00,"30-50, Delhi, Education","80%, Negative"
Concert,8949,2,10:00 - 18:00,"16-30, Banglore, Music","90%, Very Positive"
Workshop,6194,1,12:00 - 22:00,"30-50, Delhi, Education","75%, Neutral"
Conference,3785,2,12:00 - 22:00,"20-45, Mumbai, Sports","75%, Neutral"
Webinar,5460,1,08:00 - 16:00,"25-40, Bhopal, Business","75%, Neutral"
Festival,7630,1,10:00 - 18:00,"25-40, Bhopal, Business","85%, Positive"
Trade Show,9483,2,12:00 - 22:00,"30-50, Delhi, Education","75%, Neutral"
Concert,3847,1,12:00 - 22:00,"30-50, Delhi, Education","90%, Very Positive"
Festival,749,4,14:00 - 20:00,"16-30, Banglore, Music","80%, Negative"
Trade Show,3329,2,12:00 - 22:00,"18-35, Maharashtra, Arts","75%, Neutral"
Festival,9882,4,09:00 - 17:00,"20-45, Mumbai, Sports","85%, Positive"
Festival,3312,3,14:00 - 20:00,"25-40, Bhopal, Business","80%, Negative"
Workshop,5650,3,10:00 - 18:00,"16-30, Banglore, Music","80%, Negative"
Workshop,5034,3,09:00 - 17:00,"18-35, Maharashtra, Arts","95%, Positive"
Workshop,9378,3,14:00 - 20:00,"25-40, Bhopal, Business","80%, Negative"
Conference,7334,2,12:00 - 22:00,"30-50, Delhi, Education","90%, Very Positive"
Seminar,4527,4,09:00 - 17:00,"16-30, Banglore, Music","70%, Mixed"
Seminar,1703,1,08:00 - 16:00,"20-45, Mumbai, Sports","80%, Negative"
Conference,5514,1,09:00 - 17:00,"18-35, Maharashtra, Arts","85%, Positive"
Seminar,1909,1,10:00 - 18:00,"18-25, Indore, Tech","70%, Mixed"
Conference,7405,3,10:00 - 18:00,"18-25, Indore, Tech","90%, Very Positive"
Concert,9739,1,12:00 - 22:00,"16-30, Banglore, Music","90%, Very Positive"
Seminar,2257,4,14:00 - 20:00,"30-50, Delhi, Education","90%, Very Positive"
Conference,9688,4,10:00 - 18:00,"18-25, Indore, Tech","85%, Positive"
Seminar,755,3,08:00 - 16:00,"18-25, Indore, Tech","70%, Mixed"
Concert,7291,1,08:00 - 16:00,"16-30, Banglore, Music","85%, Positive"
Seminar,9791,3,12:00 - 22:00,"18-35, Maharashtra, Arts","80%, Negative"
Concert,835,3,19:00 - 22:00,"18-25, Indore, Tech","95%, Positive"
Concert,9067,1,14:00 - 20:00,"20-45, Mumbai, Sports","75%, Neutral"
Festival,5516,4,12:00 - 22:00,"25-40, Bhopal, Business","85%, Positive"
Webinar,1249,2,10:00 - 18:00,"20-45, Mumbai, Sports","75%, Neutral"
Concert,7606,1,19:00 - 22:00,"20-45, Mumbai, Sports","70%, Mixed"
Trade Show,8465,3,08:00 - 16:00,"20-45, Mumbai, Sports","85%, Positive"
Webinar,1368,3,10:00 - 18:00,"18-25, Indore, Tech","70%, Mixed"
Workshop,8230,4,10:00 - 18:00,"18-35, Maharashtra, Arts","85%, Positive"
Webinar,1818,3,08:00 - 16:00,"30-50, Delhi, Education","85%, Positive"
Workshop,6184,3,08:00 - 16:00,"18-25, Indore, Tech","80%, Negative"
Trade Show,3208,4,09:00 - 17:00,"20-45, Mumbai, Sports","95%, Positive"
Seminar,6008,2,12:00 - 22:00,"30-50, Delhi, Education","90%, Very Positive"
Concert,8180,2,09:00 - 17:00,"18-35, Maharashtra, Arts","70%, Mixed"
Concert,5188,4,08:00 - 16:00,"30-50, Delhi, Education","70%, Mixed"
Concert,251,2,08:00 - 16:00,"18-35, Maharashtra, Arts","80%, Negative"
Trade Show,3680,3,12:00 - 22:00,"30-50, Delhi, Education","75%, Neutral"
Trade Show,3881,4,08:00 - 16:00,"20-45, Mumbai, Sports","90%, Very Positive"
Seminar,8146,2,10:00 - 18:00,"25-40, Bhopal, Business","70%, Mixed"
