event_id,event_name,event_category,popularity
1,Event 1,food,28
2,Event 2,gaming,57
3,Event 3,travel,10
4,Event 4,music,68
5,Event 5,travel,64
6,Event 6,food,30
7,Event 7,tech,91
8,Event 8,art,88
9,Event 9,sports,42
10,Event 10,gaming,39
11,Event 11,tech,34
12,Event 12,food,57
13,Event 13,sports,60
14,Event 14,gaming,58
15,Event 15,art,41
16,Event 16,art,87
17,Event 17,music,10
18,Event 18,sports,90
19,Event 19,music,36
20,Event 20,travel,77
21,Event 21,sports,44
22,Event 22,gaming,89
23,Event 23,coding,54
24,Event 24,music,41
25,Event 25,music,65
26,Event 26,travel,80
27,Event 27,sports,95
28,Event 28,tech,6
29,Event 29,coding,100
30,Event 30,music,42
31,Event 31,food,12
32,Event 32,music,16
33,Event 33,sports,72
34,Event 34,food,8
35,Event 35,music,61
36,Event 36,gaming,92
37,Event 37,travel,12
38,Event 38,gaming,19
39,Event 39,coding,79
40,Event 40,gaming,61
41,Event 41,coding,14
42,Event 42,coding,25
43,Event 43,gaming,68
44,Event 44,food,83
45,Event 45,food,78
46,Event 46,food,73
47,Event 47,food,42
48,Event 48,travel,36
49,Event 49,art,60
50,Event 50,food,38
51,Event 51,coding,20
52,Event 52,gaming,30
53,Event 53,food,26
54,Event 54,coding,72
55,Event 55,music,92
56,Event 56,art,97
57,Event 57,gaming,18
58,Event 58,art,47
59,Event 59,gaming,28
60,Event 60,coding,36
61,Event 61,coding,22
62,Event 62,tech,78
63,Event 63,tech,22
64,Event 64,travel,40
65,Event 65,food,89
66,Event 66,coding,62
67,Event 67,coding,83
68,Event 68,art,66
69,Event 69,food,75
70,Event 70,tech,5
71,Event 71,gaming,6
72,Event 72,music,8
73,Event 73,food,32
74,Event 74,art,22
75,Event 75,music,77
76,Event 76,coding,39
77,Event 77,coding,4
78,Event 78,food,2
79,Event 79,coding,16
80,Event 80,gaming,16
81,Event 81,music,96
82,Event 82,sports,68
83,Event 83,music,57
84,Event 84,food,10
85,Event 85,food,6
86,Event 86,tech,20
87,Event 87,gaming,95
88,Event 88,music,50
89,Event 89,gaming,8
90,Event 90,music,9
91,Event 91,music,46
92,Event 92,coding,99
93,Event 93,coding,100
94,Event 94,tech,8
95,Event 95,food,12
96,Event 96,gaming,80
97,Event 97,sports,26
98,Event 98,gaming,96
99,Event 99,food,57
100,Event 100,travel,73
