event_id,event_name,event_category,popularity
1,Event 1,sports,59
2,Event 2,tech,93
3,Event 3,art,76
4,Event 4,tech,65
5,Event 5,sports,3
6,Event 6,gaming,49
7,Event 7,art,88
8,Event 8,food,44
9,Event 9,sports,84
10,Event 10,travel,90
11,Event 11,music,68
12,Event 12,art,69
13,Event 13,sports,82
14,Event 14,music,71
15,Event 15,food,61
16,Event 16,coding,57
17,Event 17,coding,11
18,Event 18,gaming,22
19,Event 19,sports,8
20,Event 20,gaming,38
21,Event 21,music,22
22,Event 22,art,83
23,Event 23,gaming,89
24,Event 24,art,52
25,Event 25,food,4
26,Event 26,tech,81
27,Event 27,coding,71
28,Event 28,travel,54
29,Event 29,music,10
30,Event 30,travel,24
31,Event 31,tech,75
32,Event 32,gaming,48
33,Event 33,music,18
34,Event 34,travel,76
35,Event 35,music,90
36,Event 36,gaming,62
37,Event 37,sports,96
38,Event 38,gaming,68
39,Event 39,art,63
40,Event 40,travel,92
41,Event 41,food,25
42,Event 42,coding,69
43,Event 43,music,17
44,Event 44,art,53
45,Event 45,art,100
46,Event 46,gaming,71
47,Event 47,food,16
48,Event 48,sports,81
49,Event 49,gaming,20
50,Event 50,food,24
51,Event 51,sports,39
52,Event 52,travel,47
53,Event 53,gaming,88
54,Event 54,travel,76
55,Event 55,gaming,23
56,Event 56,travel,88
57,Event 57,sports,7
58,Event 58,coding,14
59,Event 59,travel,63
60,Event 60,art,41
61,Event 61,art,56
62,Event 62,gaming,40
63,Event 63,art,65
64,Event 64,coding,95
65,Event 65,art,77
66,Event 66,travel,50
67,Event 67,tech,47
68,Event 68,music,91
69,Event 69,music,33
70,Event 70,art,7
71,Event 71,travel,39
72,Event 72,art,81
73,Event 73,travel,20
74,Event 74,art,3
75,Event 75,gaming,46
76,Event 76,music,51
77,Event 77,sports,23
78,Event 78,gaming,42
79,Event 79,sports,18
80,Event 80,travel,83
81,Event 81,food,70
82,Event 82,sports,85
83,Event 83,gaming,25
84,Event 84,music,35
85,Event 85,music,89
86,Event 86,coding,22
87,Event 87,travel,96
88,Event 88,tech,29
89,Event 89,travel,73
90,Event 90,travel,95
91,Event 91,music,55
92,Event 92,food,32
93,Event 93,music,77
94,Event 94,travel,37
95,Event 95,coding,81
96,Event 96,gaming,77
97,Event 97,gaming,44
98,Event 98,coding,76
99,Event 99,gaming,79
100,Event 100,sports,43
